agg,z,seed,ap
trimmed,2.0,8,0.345058998609033
trimmed,3.0,8,0.3404009453334559
krum,0.0,8,0.3993245997296029
krum,0.5,8,0.3482649311026364
krum,1.0,8,0.34502968921651533
krum,1.5,8,0.3643672094471005
krum,2.0,8,0.36359476808653524
krum,3.0,8,0.36359476808653524
fedavg,0.0,9,0.6394967941283719
fedavg,0.5,9,0.5740265018595694
fedavg,1.0,9,0.5059892893790675
fedavg,1.5,9,0.442966801950352
fedavg,2.0,9,0.38350412074890067
fedavg,3.0,9,0.30215012298121463
trimmed,0.0,9,0.6669940823977543
trimmed,0.5,9,0.5778860683608043
trimmed,1.0,9,0.4891574283872835
trimmed,1.5,9,0.41244630053753356
trimmed,2.0,9,0.3603309007310332
trimmed,3.0,9,0.31375036512760723
krum,0.0,9,0.6394967941283719
krum,0.5,9,0.42405573757814075
krum,1.0,9,0.45129646592972955
krum,1.5,9,0.6869225830998181
krum,2.0,9,0.6835737742513145
krum,3.0,9,0.6835737742513145
